trade_id,book_id,trader_id,trade_date,settle_date,asset_class,product_type,instrument_id,instrument_description,currency,notional,quantity,trade_price,direction,counterparty_id,counterparty_name,status,maturity_date,bloomberg_id,internal_ref
DEM-001,RATES-DEMO-01,TDR-D-01,2026-07-14,2026-07-17,RATES,IRS,JPY-IRS-2Y,JPY IRS 2Y,JPY,4000000000,1,0.4,PAY,CPTY-D1,Northbank Securities,LIVE,2028-07-06,,REF-D-0001
DEM-002,RATES-DEMO-01,TDR-D-01,2026-07-07,2026-07-10,RATES,IRS,JPY-IRS-5Y,JPY IRS 5Y,JPY,6000000000,1,0.85,RECEIVE,CPTY-D2,Harbour Capital,LIVE,2031-07-08,,REF-D-0002
DEM-003,RATES-DEMO-01,TDR-D-01,2026-07-13,2026-07-16,RATES,IRS,JPY-IRS-10Y,JPY IRS 10Y,JPY,3000000000,1,1.3,RECEIVE,CPTY-D3,Meridian Bank,LIVE,2036-07-10,,REF-D-0003
DEM-004,RATES-DEMO-01,TDR-D-01,2026-07-14,2026-07-17,RATES,IRS,AUD-IRS-7Y,AUD IRS 7Y,AUD,200000000,1,3.88,PAY,CPTY-D4,Calder & Co,LIVE,2033-07-14,,REF-D-0004
DEM-005,RATES-DEMO-01,TDR-D-01,2026-07-03,2026-07-08,RATES,GOVT_BOND,JGB-0.4-2031,JGB 0.4% 2031,JPY,2500000000,25000,99.1,BUY,CPTY-D5,Solstice Partners,LIVE,2031-03-20,,REF-D-0005
DEM-006,RATES-DEMO-01,TDR-D-01,2026-07-09,2026-07-14,RATES,GOVT_BOND,JGB-1.2-2041,JGB 1.2% 2041,JPY,1200000000,12000,96.3,BUY,CPTY-D1,Northbank Securities,LIVE,2041-09-20,,REF-D-0006
DEM-007,RATES-DEMO-01,TDR-D-01,2026-07-10,2026-07-15,RATES,GOVT_BOND,ACGB-3.0-2033,ACGB 3.0% 2033,AUD,90000000,900,97.6,BUY,CPTY-D2,Harbour Capital,LIVE,2033-04-21,,REF-D-0007
DEM-008,RATES-DEMO-01,TDR-D-01,2026-07-09,2026-07-14,RATES,GOVT_BOND,JGB-0.4-2031,JGB 0.4% 2031,JPY,800000000,8000,99.35,SELL,CPTY-D3,Meridian Bank,LIVE,2031-03-20,,REF-D-0008
DEM-009,CREDIT-DEMO-01,TDR-D-02,2026-07-13,2026-07-16,CREDIT,CORP_BOND,ORION-2.6-2029,Orion Holdings 2.6% 2029,USD,8000000,8000,98.0,BUY,CPTY-D4,Calder & Co,LIVE,2029-05-15,,REF-D-0009
DEM-010,CREDIT-DEMO-01,TDR-D-02,2026-07-08,2026-07-13,CREDIT,CORP_BOND,VERTEX-3.1-2028,Vertex Industries 3.1% 2028,USD,6000000,6000,100.3,BUY,CPTY-D5,Solstice Partners,LIVE,2028-11-30,,REF-D-0010
DEM-011,CREDIT-DEMO-01,TDR-D-02,2026-07-13,2026-07-16,CREDIT,CORP_BOND,KESTREL-4.0-2030,Kestrel Energy 4.0% 2030,SGD,9000000,9000,95.4,BUY,CPTY-D1,Northbank Securities,LIVE,2030-02-28,,REF-D-0011
DEM-012,CREDIT-DEMO-01,TDR-D-02,2026-07-08,2026-07-13,CREDIT,CORP_BOND,ORION-2.6-2029,Orion Holdings 2.6% 2029,USD,3000000,3000,98.4,SELL,CPTY-D2,Harbour Capital,LIVE,2029-05-15,,REF-D-0012
DEM-013,CREDIT-DEMO-01,TDR-D-02,2026-07-14,2026-07-17,CREDIT,CDS,CDS-ORION-5Y,CDS Orion Holdings 5Y,USD,10000000,1,85.0,BUY,CPTY-D3,Meridian Bank,LIVE,2031-06-20,,REF-D-0013
DEM-014,CREDIT-DEMO-01,TDR-D-02,2026-07-08,2026-07-13,CREDIT,CDS,CDS-VERTEX-5Y,CDS Vertex Industries 5Y,USD,5000000,1,145.0,SELL,CPTY-D4,Calder & Co,LIVE,2031-06-20,,REF-D-0014
DEM-015,FX-DEMO-01,TDR-D-03,2026-07-09,2026-07-13,FX,FX_SPOT,USDJPY,USDJPY spot,USD,12000000,1,148.9,BUY,CPTY-D5,Solstice Partners,LIVE,2026-08-07,,REF-D-0015
DEM-016,FX-DEMO-01,TDR-D-03,2026-07-14,2026-07-16,FX,FX_FORWARD,USDJPY,USDJPY forward,USD,9000000,1,149.4,SELL,CPTY-D1,Northbank Securities,LIVE,2026-09-30,,REF-D-0016
